source,source_type,relation,target,target_type,since,until,when,description,evidence_link
Shiraz Shariff,person,is president of,Alberta Business Connections Ltd.,organization,,,,Shiraz Shariff is President of Alberta Business Connections Ltd.,https://www.desmog.com/alberta-prosperity-fund/
Michael Yurkovich,person,is director of,Alberta Prosperity Fund,organization,,,,Michael Yurkovich is a DIRECTOR for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Michael Yurkovich,person,is president of,Refraction Asset Management Ltd.,organization,,,,Michael Yurkovich is the President and a Director of Refraction Asset Management Ltd.,https://www.desmog.com/alberta-prosperity-fund/
Michael Yurkovich,person,was employed by,Canaccord Genuity,organization,,,,Michael Yurkovich has previously served as an analyst- E & P for Canaccord Genuity.,https://www.desmog.com/alberta-prosperity-fund/
Michael Yurkovich,person,was employed by,Desjardins Securities,organization,,,,Michael Yurkovich has previously served as a Research Associate at Desjardins Securities.,https://www.desmog.com/alberta-prosperity-fund/
Randy Kerr,person,is director of,Alberta Prosperity Fund,organization,,,,Randy Kerr is a DIRECTOR for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Randy Kerr,person,contributed to,Alberta Prosperity Fund,organization,,,,Randy Kerr is the Chief Communications Officer and Director of Campaigns for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Randy Kerr,person,is employed by,Enbridge,organization,,,,Randy Kerr worked as a Manager for Provincial Government Relations for Enbridge.,https://www.desmog.com/alberta-prosperity-fund/
Randy Kerr,person,is employed by,ConocoPhillips Canada,organization,,,,Randy Kerr worked at ConocoPhillips Canada to create tar sands strategies.,https://www.desmog.com/alberta-prosperity-fund/
Dave Rutherford,person,contributed to,Alberta Prosperity Fund,organization,2016,,,Former radio host Dave Rutherford emerged as Alberta Prosperity Fund's spokesperson in January 2016.,https://www.desmog.com/alberta-prosperity-fund/
Cam Davies,person,is a member of,Alberta Prosperity Fund,organization,,,,"Cam Davies, a former Wildrose Party event organizer, has been the APF's vice-chair.",https://www.desmog.com/alberta-prosperity-fund/
Cam Davies,person,contributed to,Wildrose Party,organization,,,,Cam Davies was a former Wildrose Party event organizer.,https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,sponsored,Kellyanne Conway,person,,,2016,"The Alberta Prosperity Fund (APF) hosted a visit by Kellyanne Conway in November 2016, including a private fundraising dinner.",https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,is associated with,Wildrose Party,organization,,,,"Heather Forsyth, chairman of the APF board, was a former Wildrose MLA. The APF also aimed to unite conservative voters, including those of the Wildrose Party. However, the Wildrose Party has denied any direct affiliation with APF.",https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,is associated with,Americans for Tax Reform,organization,,,,The Calgary Herald reported that Americans for Tax Reform President Grover Norquist was to attend a 'private information session for donors' at APF's launch event.,https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,contributed to,Jason Kenney,person,,,2016,The Alberta Prosperity Fund announced their 'unanimous support' in endorsing Jason Kenney of the Progressive Conservative Association of Alberta in July 2016.,https://www.desmog.com/alberta-prosperity-fund/
School of Public Policy at University of Calgary,organization,was funded by,James Palmer,person,,,,The School of Public Policy (SPP) at University of Calgary was set up with a $4 million donation from James Palmer.,https://www.desmog.com/alberta-prosperity-fund/
Jack Mintz,person,is director of,School of Public Policy at University of Calgary,organization,,,,Jack Mintz headed the School of Public Policy (SPP).,https://www.desmog.com/alberta-prosperity-fund/
Jack Mintz,person,is director of,Imperial Oil,organization,,,,Jack Mintz is an Imperial Oil director.,https://www.desmog.com/alberta-prosperity-fund/
Jack Mintz,person,is director of,Imperial Oil Foundation,organization,,,,Jack Mintz is a director of the Imperial Oil Foundation.,https://www.desmog.com/alberta-prosperity-fund/
Imperial Oil,organization,is associated with,School of Public Policy at University of Calgary,organization,,,,"The School of Public Policy has been described as having 'heavy' influence from corporations, particularly Imperial Oil, and its head, Jack Mintz, is an Imperial Oil director.",https://www.desmog.com/alberta-prosperity-fund/
Grover Norquist,person,is president of,Americans for Tax Reform,organization,,,,Grover Norquist is the president of Americans for Tax Reform.,https://www.desmog.com/alberta-prosperity-fund/
Grover Norquist,person,contributed to,Alberta Prosperity Fund,organization,,,2015,Grover Norquist was to attend a 'private information session for donors' at the Alberta Prosperity Fund's launch event in November 2015.,https://www.desmog.com/alberta-prosperity-fund/
John Weissenberger,person,is employed by,Jason Kenney,person,,,,Jason Kenney hired John Weissenberger as his campaign manager.,https://www.desmog.com/alberta-prosperity-fund/
Frontier Center for Public Policy,organization,was funded by,Koch foundations,organization,,,,The Frontier Center for Public Policy (FCPP) has received over $1 million from Koch foundations.,https://www.desmog.com/alberta-prosperity-fund/
Frontier Center for Public Policy,organization,was funded by,ExxonMobil,organization,,,,The Frontier Center for Public Policy (FCPP) has received money from ExxonMobil.,https://www.desmog.com/alberta-prosperity-fund/
Dr. Frank Atkins,person,is a member of,Frontier Center for Public Policy,organization,,,,Dr. Frank Atkins is the Frontier Center Chair in Finance and Capital Markets.,https://www.desmog.com/alberta-prosperity-fund/
Dr. Frank Atkins,person,contributed to,Alberta Prosperity Fund,organization,,,2016,APF hosted Dr. Frank Atkins of the Frontier Center for Public Policy in a video in April 2016.,https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,active since,2015,gYear,,,2015,The Alberta Prosperity Fund (APF) is a Canadian non-profit corporation launched in November 2015.,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,is president of,Alberta Prosperity Fund,organization,,,,Barry McNamar is the President of the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,is director of,Alberta Prosperity Fund,organization,,,,Barry McNamar is a Director of the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,contributed to,Fraser Institute,organization,,,,Barry McNamar has ties to the Fraser Institute and has held leadership positions with it.,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,is associated with,Frontier Center for Public Policy,organization,,,,Barry McNamar has ties to the Frontier Center for Public Policy (FCPP).,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,is a member of,Manning Foundation,organization,,,,Barry McNamar has held leadership positions with the Manning Foundation.,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,is a member of,Canadian Alliance Fund,organization,,,,Barry McNamar has held leadership positions with the Canadian Alliance Fund.,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,is a member of,Reform Fund Canada,organization,,,,Barry McNamar has held leadership positions with Reform Fund Canada.,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,is director of,School of Public Policy at University of Calgary,organization,,,,Barry McNamar is the founding Director of the School of Public Policy (SPP) at University of Calgary.,https://www.desmog.com/alberta-prosperity-fund/
Barry McNamar,person,contributed to,Wildrose Party,organization,,,,Barry McNamar has served as a fundraiser for the Wildrose Party in the past.,https://www.desmog.com/alberta-prosperity-fund/
Heather Forsyth,person,is director of,Alberta Prosperity Fund,organization,,,,Heather Forsyth is the CHAIR OF THE BOARD for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Heather Forsyth,person,is a member of,PC Alberta,organization,,,,Heather Forsyth is a former MLA for PC Alberta.,https://www.desmog.com/alberta-prosperity-fund/
Heather Forsyth,person,is a member of,Wildrose Party,organization,2010,2015,,"Heather Forsyth joined the Wildrose Party in 2010 and was elected Interim Leader in 2014, retiring from politics in 2015.",https://www.desmog.com/alberta-prosperity-fund/
James McCormick,person,is director of,Alberta Prosperity Fund,organization,,,,James McCormick is the VICE-CHAIR for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
James McCormick,person,is employed by,Venturion Oil,organization,1979,,,James McCormick is the Vice President for Land at Venturion Oil and has worked in the oil and gas industry since 1979.,https://www.desmog.com/alberta-prosperity-fund/
James McCormick,person,is president of,PC Association of Alberta,organization,,,,James McCormick has served as the President of the PC Association of Alberta.,https://www.desmog.com/alberta-prosperity-fund/
Dale W. Bossert,person,is director of,Alberta Prosperity Fund,organization,,,,Dale W. Bossert is a DIRECTOR for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Dale W. Bossert,person,is president of,DWB Oilfield Consulting,organization,,,,Dale W. Bossert is president of DWB Oilfield Consulting.,https://www.desmog.com/alberta-prosperity-fund/
Dale W. Bossert,person,is director of,Gasfrac Energy Services Ltd.,organization,,,,Dale W. Bossert has been a Director of Gasfrac Energy Services Ltd.,https://www.desmog.com/alberta-prosperity-fund/
Dale W. Bossert,person,is director of,Forbes Energy Services LLC,organization,,,,Dale W. Bossert has been a Director of Forbes Energy Services LLC.,https://www.desmog.com/alberta-prosperity-fund/
Dale W. Bossert,person,contributed to,The Hon. Jason Kenney MP,person,,2015,,Dale W. Bossert served as Campaign Manager for The Hon. Jason Kenney MP for the four federal elections prior to 2015.,https://www.desmog.com/alberta-prosperity-fund/
Larry Kaumeyer,person,is director of,Alberta Prosperity Fund,organization,,,,Larry Kaumeyer is a DIRECTOR for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Larry Kaumeyer,person,is employed by,Buffalo Inspection Services,organization,,,,Larry Kaumeyer is the CEO of Buffalo Inspection Services.,https://www.desmog.com/alberta-prosperity-fund/
Larry Kaumeyer,person,was employed by,Infracon Energy Services Corporation,organization,,,,Larry Kaumeyer was previously CEO of Infracon Energy Services Corporation.,https://www.desmog.com/alberta-prosperity-fund/
Larry Kaumeyer,person,was employed by,Aecon Group Inc.,organization,,,,Larry Kaumeyer was previously Vice President of Aecon Group Inc.,https://www.desmog.com/alberta-prosperity-fund/
Larry Kaumeyer,person,was employed by,Almita Piling,organization,,,,Larry Kaumeyer was CEO of Almita Piling.,https://www.desmog.com/alberta-prosperity-fund/
Larry Kaumeyer,person,is director of,Productivity Alberta,organization,,,,Larry Kaumeyer was founding Chair of Productivity Alberta.,https://www.desmog.com/alberta-prosperity-fund/
Shiraz Shariff,person,is director of,Alberta Prosperity Fund,organization,,,,Shiraz Shariff is a DIRECTOR for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Shiraz Shariff,person,is employed by,Catch Resources Inc.,organization,,,,Shiraz Shariff is the Executive Vice President at Catch Resources Inc.,https://www.desmog.com/alberta-prosperity-fund/
Shiraz Shariff,person,is president of,Alberta Business Connections Ltd.,organization,,,,Shiraz Shariff is President of Alberta Business Connections Ltd.,https://www.desmog.com/alberta-prosperity-fund/
Michael Yurkovich,person,is director of,Alberta Prosperity Fund,organization,,,,Michael Yurkovich is a DIRECTOR for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Michael Yurkovich,person,is president of,Refraction Asset Management Ltd.,organization,,,,Michael Yurkovich is the President and a Director of Refraction Asset Management Ltd.,https://www.desmog.com/alberta-prosperity-fund/
Michael Yurkovich,person,was employed by,Canaccord Genuity,organization,,,,Michael Yurkovich has previously served as an analyst- E & P for Canaccord Genuity.,https://www.desmog.com/alberta-prosperity-fund/
Michael Yurkovich,person,was employed by,Desjardins Securities,organization,,,,Michael Yurkovich has previously served as a Research Associate at Desjardins Securities.,https://www.desmog.com/alberta-prosperity-fund/
Randy Kerr,person,is director of,Alberta Prosperity Fund,organization,,,,Randy Kerr is a DIRECTOR for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Randy Kerr,person,contributed to,Alberta Prosperity Fund,organization,,,,Randy Kerr is the Chief Communications Officer and Director of Campaigns for the Alberta Prosperity Fund.,https://www.desmog.com/alberta-prosperity-fund/
Randy Kerr,person,is employed by,Enbridge,organization,,,,Randy Kerr worked as a Manager for Provincial Government Relations for Enbridge.,https://www.desmog.com/alberta-prosperity-fund/
Randy Kerr,person,is employed by,ConocoPhillips Canada,organization,,,,Randy Kerr worked at ConocoPhillips Canada to create tar sands strategies.,https://www.desmog.com/alberta-prosperity-fund/
Dave Rutherford,person,contributed to,Alberta Prosperity Fund,organization,2016,,,Former radio host Dave Rutherford emerged as Alberta Prosperity Fund's spokesperson in January 2016.,https://www.desmog.com/alberta-prosperity-fund/
Cam Davies,person,is a member of,Alberta Prosperity Fund,organization,,,,"Cam Davies, a former Wildrose Party event organizer, has been the APF's vice-chair.",https://www.desmog.com/alberta-prosperity-fund/
Cam Davies,person,contributed to,Wildrose Party,organization,,,,Cam Davies was a former Wildrose Party event organizer.,https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,sponsored,Kellyanne Conway,person,,,2016,"The Alberta Prosperity Fund (APF) hosted a visit by Kellyanne Conway in November 2016, including a private fundraising dinner.",https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,is associated with,Wildrose Party,organization,,,,"Heather Forsyth, chairman of the APF board, was a former Wildrose MLA. The APF also aimed to unite conservative voters, including those of the Wildrose Party. However, the Wildrose Party has denied any direct affiliation with APF.",https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,is associated with,Americans for Tax Reform,organization,,,,The Calgary Herald reported that Americans for Tax Reform President Grover Norquist was to attend a 'private information session for donors' at APF's launch event.,https://www.desmog.com/alberta-prosperity-fund/
Alberta Prosperity Fund,organization,contributed to,Jason Kenney,person,,,2016,The Alberta Prosperity Fund announced their 'unanimous support' in endorsing Jason Kenney of the Progressive Conservative Association of Alberta in July 2016.,https://www.desmog.com/alberta-prosperity-fund/
School of Public Policy at University of Calgary,organization,was funded by,James Palmer,person,,,,The School of Public Policy (SPP) at University of Calgary was set up with a $4 million donation from James Palmer.,https://www.desmog.com/alberta-prosperity-fund/
Jack Mintz,person,is director of,School of Public Policy at University of Calgary,organization,,,,Jack Mintz headed the School of Public Policy (SPP).,https://www.desmog.com/alberta-prosperity-fund/
Jack Mintz,person,is director of,Imperial Oil,organization,,,,Jack Mintz is an Imperial Oil director.,https://www.desmog.com/alberta-prosperity-fund/
Jack Mintz,person,is director of,Imperial Oil Foundation,organization,,,,Jack Mintz is a director of the Imperial Oil Foundation.,https://www.desmog.com/alberta-prosperity-fund/
Imperial Oil,organization,is associated with,School of Public Policy at University of Calgary,organization,,,,"The School of Public Policy has been described as having 'heavy' influence from corporations, particularly Imperial Oil, and its head, Jack Mintz, is an Imperial Oil director.",https://www.desmog.com/alberta-prosperity-fund/
Grover Norquist,person,is president of,Americans for Tax Reform,organization,,,,Grover Norquist is the president of Americans for Tax Reform.,https://www.desmog.com/alberta-prosperity-fund/
Grover Norquist,person,contributed to,Alberta Prosperity Fund,organization,,,2015,Grover Norquist was to attend a 'private information session for donors' at the Alberta Prosperity Fund's launch event in November 2015.,https://www.desmog.com/alberta-prosperity-fund/
John Weissenberger,person,is employed by,Jason Kenney,person,,,,Jason Kenney hired John Weissenberger as his campaign manager.,https://www.desmog.com/alberta-prosperity-fund/
Frontier Center for Public Policy,organization,was funded by,Koch foundations,organization,,,,The Frontier Center for Public Policy (FCPP) has received over $1 million from Koch foundations.,https://www.desmog.com/alberta-prosperity-fund/
Frontier Center for Public Policy,organization,was funded by,ExxonMobil,organization,,,,The Frontier Center for Public Policy (FCPP) has received money from ExxonMobil.,https://www.desmog.com/alberta-prosperity-fund/
Dr. Frank Atkins,person,is a member of,Frontier Center for Public Policy,organization,,,,Dr. Frank Atkins is the Frontier Center Chair in Finance and Capital Markets.,https://www.desmog.com/alberta-prosperity-fund/
Dr. Frank Atkins,person,contributed to,Alberta Prosperity Fund,organization,,,2016,APF hosted Dr. Frank Atkins of the Frontier Center for Public Policy in a video in April 2016.,https://www.desmog.com/alberta-prosperity-fund/
Wayne Winegarden,person,is employed by,Pacific Research Institute,organisation,,,,Wayne Winegarden is a Senior Fellow in Business & Economics at the Pacific Research Institute (PRI).,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is a member of,Capitol Economic Advisors,organisation,,,,Wayne Winegarden is a principal at Capitol Economic Advisors.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,EconoStats,organisation,,,,Wayne Winegarden is a contributing editor for EconoStats.,https://www.desmog.com/wayne-winegarden/
EconoStats,organisation,is derived from,George Mason University,organisation,,,,EconoStats is a project of George Mason University.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is employed by,Philip Morris,organisation,,,,Wayne Winegarden was previously employed by Philip Morris.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is employed by,Philip Morris Management Corporation,organisation,1996,1999,,"Wayne Winegarden was Manager, state fiscal issues at Philip Morris Management Corporation from 1996-1999.",https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is employed by,Philip Morris Asia,organisation,1999,2001,,"Wayne Winegarden was Manager, tax & economic issues at Philip Morris Asia from 1999-2001.",https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is employed by,National Association of Federal Credit Unions,organisation,1995,1996,,Wayne Winegarden was Economist at National Association of Federal Credit Unions from 1995-1996.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is employed by,Marymount University,organisation,,,,"Wayne Winegarden is Lecturer, economics faculty at Marymount University.",https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is a member of,Capitol Economic Advisors,organisation,2001,,,Wayne Winegarden is a partner at Capitol Economic Advisors since 2001.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is a member of,"Arduin, Laffer & Moore Econometrics",organisation,,,,"Wayne Winegarden is a partner at Arduin, Laffer & Moore Econometrics.",https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,Freeenterpriser.com,organisation,,,,Wayne Winegarden is a contributor to Freeenterpriser.com.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is a member of,Mercatus Center,organisation,,,,Wayne Winegarden is a PhD fellow at Mercatus Center.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,Philip Morris,organisation,,,1999,Wayne Winegarden authored numerous reports for Philip Morris in 1999.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,is associated with,ALEC,organisation,,,1999,Wayne Winegarden coordinated with ALEC in 1999 to develop a presentation on the cross-border effects of tobacco taxation.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,Pacific Research Institute,organisation,,,2022,Wayne Winegarden authored a report for the Pacific Research Institute in February 2022.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,Pacific Research Institute,organisation,,,2018,Wayne Winegarden authored a report for the Pacific Research Institute in December 2018.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,Pacific Research Institute,organisation,,,2018,Wayne Winegarden authored a report for the Pacific Research Institute in February 2018.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,Pacific Research Institute,organisation,,,2016,Wayne Winegarden authored a report for the Pacific Research Institute in November 2016.,https://www.desmog.com/wayne-winegarden/
Heartland Institute,organisation,is associated with,Pacific Research Institute,organisation,,,2016,The Heartland Institute promoted a report by the Pacific Research Institute authored by Wayne Winegarden in November 2016.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,Pacific Research Institute,organisation,,,2016,Wayne Winegarden authored a study for the Pacific Research Institute in May 2016.,https://www.desmog.com/wayne-winegarden/
Wayne Winegarden,person,contributed to,Forbes,organisation,,,2016,Wayne Winegarden wrote an article for Forbes in April 2016.,https://www.desmog.com/wayne-winegarden/
Malcolm Roberts,Person,contributed to,University of Queensland,Organization,2010,,,"Malcolm Roberts completed a Bachelor of Engineering from the University of Queensland, as listed in his personal declaration of interests.",https://www.desmog.com/malcolm-roberts/
Malcolm Roberts,Person,contributed to,University of Chicago,Organization,2010,,,"Malcolm Roberts completed an MBA in Business from the University of Chicago, as listed in his personal declaration of interests.",https://www.desmog.com/malcolm-roberts/
Malcolm Roberts,Person,is a member of,One Nation,Organization,2016,2017,,Malcolm Roberts was elected as an Australian Senator for One Nation in 2016 and was found ineligible to sit in federal parliament in 2017 due to dual citizenship.,https://www.desmog.com/malcolm-roberts/
Malcolm Roberts,Person,is a member of,One Nation,Organization,2019,,,Malcolm Roberts was re-elected to the Senate for Queensland in 2019.,https://www.desmog.com/malcolm-roberts/
Malcolm Roberts,Person,is employed by,The Galileo Movement,Organization,2011,,,"Malcolm Roberts worked as the volunteer project manager for the Australia-based climate science denial organization The Galileo Movement, and was appointed as project manager in April 2011.",https://www.desmog.com/malcolm-roberts/
Malcolm Roberts,Person,contributed to,The Galileo Movement,Organization,,,2011,Malcolm Roberts wrote a report for The Galileo Movement on 'Carbon Dioxide (CO2) Facts'.,https://www.desmog.com/malcolm-roberts/
Malcolm Roberts,Person,is a member of,Carbon Sense Coalition,Organization,2007,,,Malcolm Roberts was listed as a member of the advisory committee of the Carbon Sense Coalition.,https://www.desmog.com/malcolm-roberts/
Carbon Sense Coalition,Organization,active since,2007,gYear,,,,"The Carbon Sense Coalition, a climate sceptic group, was established in July 2007.",https://www.desmog.com/malcolm-roberts/
Malcolm Roberts,Person,is a member of,Principia Scientific International,Organization,2013,,,Malcolm Roberts was listed as a member of Principia Scientific International in a biography published in March 2013.,https://www.desmog.com/malcolm-roberts/
Malcolm Roberts,Person,is a member of,Mine Managers Association of Australia (MMAA),Organization,2012,,,Malcolm Roberts was listed as a member of the Mine Managers Association of Australia (MMAA) as of March 2012.,https://www.desmog.com/malcolm-roberts/
The Heartland Institute,Organization,sponsored,Malcolm Roberts,Person,,,2013,The Heartland Institute promoted Malcolm Roberts' 'CSIROh!' report on their website.,https://www.desmog.com/malcolm-roberts/
Committee for a Constructive Tomorrow (CFACT),Organization,has partner,Malcolm Roberts,Person,,,2020,"Malcolm Roberts appeared in the 2020 film 'Climate Hustle 2: Rise of the Climate Monarchy', which was produced by the Committee for a Constructive Tomorrow (CFACT) and CDR Communications, Inc.",https://www.desmog.com/malcolm-roberts/
Ronald Stein,person,is a member of,The Heartland Institute,organisation,,,,Ronald C. Stein is a policy advisor at The Heartland Institute.,https://www.desmog.com/ronald-stein/
Ronald Stein,person,is a member of,PTS Advance,organisation,1995,,,Ronald Stein is the founder of PTS Advance where he is 'known as a leader in delivering staffing solutions to major oil refineries'. He is also listed as 'Ambassador for Energy & Infrastructure (1995)' for PTS Advance/Principal Technical Services (PTS).,https://www.desmog.com/ronald-stein/
Ronald Stein,person,contributed to,Energy Made Easy,organisation,2019,,,Stein is the co-author of two books with Todd Royal: Energy Made Easy (2019).,https://www.desmog.com/ronald-stein/
Ronald Stein,person,contributed to,Just GREEN Electricity,organisation,2020,,,Stein is the co-author of two books with Todd Royal: Just GREEN Electricity (2020).,https://www.desmog.com/ronald-stein/
Ronald Stein,person,is a member of,Universal Studios,organisation,1987,1990,,Ronald Stein was a Project manager for Jaws Attraction at Universal Studios.,https://www.desmog.com/ronald-stein/
Ronald Stein,person,is employed by,Fluor,organisation,1964,1983,,"Ronald Stein worked as Project management 'on various petrochemical projects, nationwide and internationally' at Fluor.",https://www.desmog.com/ronald-stein/
Ronald Stein,person,is a member of,American Society of Civil Engineers (ASCE) Infrastructure Report Card,organisation,,,,Ronald Stein is the Committee Chairman for the American Society of Civil Engineers (ASCE) Infrastructure Report Card.,https://www.desmog.com/ronald-stein/
Ronald Stein,person,contributed to,CFACT,organisation,2019,2022,,Ronald Stein has authored numerous articles and op-eds for CFACT.,https://www.desmog.com/ronald-stein/
Ronald Stein,person,contributed to,Eurasia Review,organisation,2020,2022,,Ronald Stein has authored numerous articles and op-eds for Eurasia Review.,https://www.desmog.com/ronald-stein/
Ronald Stein,person,contributed to,Fox & Hounds,organisation,2017,2020,,Ronald Stein has authored numerous articles and op-eds for Fox & Hounds.,https://www.desmog.com/ronald-stein/
Ronald Stein,person,contributed to,Los Angeles Business Journal,organisation,2010,2018,,Ronald Stein has authored numerous articles and op-eds for Los Angeles Business Journal.,https://www.desmog.com/ronald-stein/
Ronald Stein,person,contributed to,The Orange County Register,organisation,2009,2018,,Ronald Stein has authored numerous articles and op-eds for The Orange County Register.,https://www.desmog.com/ronald-stein/
PTS Advance,organisation,active since,1995,gYear,,,,PTS Advance was founded in 1995.,https://www.desmog.com/ronald-stein/
John F. Clauser,person,is director of,CO2 Coalition,organisation,2023,,,John F. Clauser is a member of the board of directors of the CO2 Coalition.,https://www.desmog.com/john-f-clauser/
John F. Clauser,person,is employed by,Lawrence Livermore National Laboratory,organisation,,,,John F. Clauser's institutional affiliations include Lawrence Livermore National Laboratory.,https://www.desmog.com/john-f-clauser/
John F. Clauser,person,is employed by,University of California at Berkeley,organisation,,,,John F. Clauser's institutional affiliations include University of California at Berkeley.,https://www.desmog.com/john-f-clauser/
John F. Clauser,person,is a member of,Berkeley Yacht Club,organisation,,,,"Clauser is an ""avid sailboat racer,"" and sails in the Berkeley Yacht Club.",https://www.desmog.com/john-f-clauser/
John F. Clauser,person,is a member of,Richmond Yacht Club,organisation,,,,"Clauser is an ""avid sailboat racer,"" and sails in the Richmond Yacht Club.",https://www.desmog.com/john-f-clauser/
J.F. Clauser & Associates,organisation,is derived from,John F. Clauser,person,,,,John F. Clauser is the owner of J.F. Clauser & Associates.,https://www.desmog.com/john-f-clauser/
John F. Clauser,person,contributed to,Deposit of Faith Coalition,organisation,2023,,2023,"Clauser spoke at a press conference hosted by the Deposit of Faith Coalition on November 4, 2023.",https://www.desmog.com/john-f-clauser/
Jan Veizer,person,is employed by,University of Ottawa,organisation,1992,2004,,Jan Veizer was a professor of Geology at the University of Ottawa and held the NSERC/Noranda/CIAR Research Chair in Earth Systems.,https://www.desmog.com/jan-veizer/
Jan Veizer,person,is employed by,University of Ottawa,organisation,,,,Jan Veizer is an emeritus professor of Geology at the University of Ottawa since April 2004.,https://www.desmog.com/jan-veizer/
Jan Veizer,person,is director of,Canadian Institute for Advanced Research (CIAR),organisation,1992,2004,,Jan Veizer served as the Director of the 'Earth System Evolution Program' of the Canadian Institute for Advanced Research (CIAR).,https://www.desmog.com/jan-veizer/
Jan Veizer,person,is employed by,Ruhr University,organisation,,,,"Veizer retired from the Chair of Sedimentary and Isotope Geology at Ruhr University in Bochum, Germany.",https://www.desmog.com/jan-veizer/
Jan Veizer,person,contributed to,The Heartland Institute,organisation,,,2009,Veizer was a speaker at the Heartland Institute's 2009 International Conference on Climate Change.,https://www.desmog.com/jan-veizer/
Jan Veizer,person,is a member of,The Heartland Institute,organisation,,,,Jan Veizer is listed as an 'Expert' by The Heartland Institute.,https://www.desmog.com/jan-veizer/
Canada Action,organization,active since,2012,gYear,,,,"Canada Action was launched as a Canadian federally-registered non-profit organization in 2012, initially as a numbered corporation.",https://www.desmog.com/canada-action/
Canada Action,organization,active since,2014,gYear,,,,"Canada Action was registered as a non-profit society in September 2014, after being a numbered corporation since 2012.",https://www.desmog.com/canada-action/
Canada Action,organization,is derived from,Numbered Corporation,organization,2012,2014,,"Before becoming a federally-registered non-profit in 2014, Canada Action was incorporated as a numbered corporation in 2012. The provincial corporation appears to have been dissolved, before a separate federal entity was created.",https://www.desmog.com/canada-action/
Cody Battershill,person,is director of,Canada Action Coalition Ltd.,organization,,,2018,"Cody Battershill was listed as a director of Canada Action Coalition Ltd. as of 2018, according to Government of Canada filings.",https://www.desmog.com/canada-action/
Cody Battershill,person,is director of,Canada Action,organization,,,2015,Cody Battershill was listed as a board member of Canada Action on its society registration as of 2015.,https://www.desmog.com/canada-action/
Cody Battershill,person,is a member of,Canada Action,organization,2012,,,Cody Battershill founded Canada Action.,https://www.desmog.com/canada-action/
Canada Action,organization,was funded by,Cody Battershill,person,,,,Cody Battershill stated publicly that he financed Canada Action with his own money.,https://www.desmog.com/canada-action/
