source,source_type,relation,target,target_type,since,until,when,description,evidence_link
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2025,BDI advocated to revise EU Green Deal policies to prioritize technology neutrality and economic competitiveness in a press release.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2025,BDI supported the EU’s Carbon Border Adjustment Mechanism (EU CBAM) with major exceptions by advocating for continued free emissions allowances under the EU’s Emissions Trading System (EU ETS) and by appearing to support export rebates.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2024,BDI repeatedly emphasized the risk of carbon leakage from the EU Emissions Trading System (EU ETS) regarding the extension of the scheme to maritime transport and in the context of ETS Aviation.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,Germany,Organization,,,2024,BDI advocated for government support for large scale renovation and modernization of buildings in Germany in a position paper.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2024,BDI supported measures to increase building renovations in the EU’s Energy Performance of Buildings Directive but also advocated for a technology neutral implementation of the policy.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,Germany,Organization,,,2024,"BDI did not appear to support Germany’s renewable energy target for 2030, its President calling it “too dogmatic”.",https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2024,BDI supported the EU Sustainable Aviation Fuel (SAF) mandate with major exceptions by emphasizing carbon leakage concerns.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2024,"BDI consistently opposed the EU’s proposed 2035 zero-emissions target for light-duty vehicles, advocating for an earlier review of the policy in a joint CEO statement.",https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2025,BDI supported the EU Commission’s proposal to weaken the 2025 15% CO2 reduction standards for light-duty vehicles and promoted further flexibilities in the policy.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2025,"BDI does not seem to fully support the EU’s 2040 Climate Target, stating that the proposed -90% GHG reduction target should only be set on the condition that it wouldn’t ‘overburden industry’.",https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,Germany,Organization,,,2025,"BDI has consistently advocated for a continued role for fossil gas in Germany, emphasizing concerns around economic and technical feasibility.",https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2025,"BDI has consistently advocated for a continued role for fossil gas in Europe, emphasizing concerns around economic and technical feasibility.",https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2025,BDI supported critical mineral legislation to improve supply chain security and production of minerals in policy recommendations.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2024,BDI advocated for a weaker definition of low-carbon hydrogen in the EU Hydrogen and Gas Decarbonization Package Delegated Act than proposed by the EU Commission.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,Germany,Organization,,,2025,BDI opposed national taxes on fuels in both maritime transport and aviation in a position paper published ahead of the German Federal Elections.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Federation of German Industries (BDI),Organization,is associated with,European Union (EU),Organization,,,2025,BDI opposed European taxes on fuels in both maritime transport and aviation in a position paper.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Siegfried Russwurm,Person,is president of,Federation of German Industries (BDI),Organization,,,2024,"Siegfried Russwurm was identified as 'BDI President Russwurm' in January 2024 and as 'former BDI President' in November 2024, indicating his term included 2024.",https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
LobbyMap,Organization,is derived from,InfluenceMap,Organization,,,,"LobbyMap is a platform/product of InfluenceMap, a UK-based non-profit Community Interest Company (CIC).",https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
InfluenceMap,Organization,active since,,gYear,,,2021,InfluenceMap's copyright notice in the footer indicates activity since this year.,https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
LobbyMap,Organization,active since,,gYear,,,2021,"LobbyMap is a platform provided by InfluenceMap, which has a copyright notice indicating activity since this year.",https://influencemap.org/influencer/German-Industrial-Federation-BDI/projectlink/German-Industrial-Federation-BDI-In-Climate-Change
Daikin Industries,organization,is a member of,Japan Business Federation (Keidanren),organization,,,,"Daikin retains memberships to industry associations such as Japan Business Federation (Keidanren), which have taken negative positions on some climate policies.",https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,Japan Electrical Manufacturers' Association (JEMA),organization,,,,"Daikin retains memberships to industry associations such as the Japan Electrical Manufacturers’ Association (JEMA), which have taken negative positions on some climate policies.",https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin's CEO,person,is employed by,Daikin Industries,organization,,,2024,"In his New Year’s address in January 2024, Daikin’s CEO recognized the necessity of responding to climate change.",https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
the president of Daikin Europe,person,is employed by,Daikin Europe,organization,,,2023,"In an October 2023 press release regarding an event with Belgium’s Federal Minister of Energy, the president of Daikin Europe called for a level playing field for heat pump technology versus fossil fuel systems.",https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is associated with,Daikin Europe,organization,,,,"The president of Daikin Europe is mentioned within the 'Climate Policy Engagement Analysis' for Daikin Industries, indicating an association between the two organizations.",https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,Japan Association of Corporate Executives (Keizai Doyukai),organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,Kansai Economic Federation,organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,Japan Society of Industrial Machinery Manufacturers (JSIM),organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,Japan Chemical Industry Association (JCIA),organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,Efficient Buildings Europe,organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,PlasticsEurope,organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,European Chemical Industry Council (Cefic),organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,American Chemistry Council (ACC),organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Daikin Industries,organization,is a member of,German Chemical Industry Association (VCI),organization,,,,Listed as a related organization in the 'Strength of Relationship' section of Daikin Industries' profile.,https://lobbymap.org/company/Daikin-Industries-c399bb6a6c5eafb712e1d8915111f067/projectlink/Daikin-Industries-in-Climate-Change-faeac32830d6a7e7dd84885987ca3e2c
Alcoa,organization,is a member of,Brazilian Institute of Mining (IBRAM),organization,,,2026,"Alcoa is a member of the Brazilian Institute of Mining (IBRAM), as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,National Association of Manufacturers (NAM),organization,,,2026,"Alcoa is a member of the National Association of Manufacturers (NAM), as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,Australian Aluminium Council,organization,,,2026,"Alcoa is a member of the Australian Aluminium Council, as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,European Metals,organization,,,2026,"Alcoa is a member of European Metals (Eurometaux), as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,Australian Industry Greenhouse Network (AIGN),organization,,,2026,"Alcoa is a member of the Australian Industry Greenhouse Network (AIGN), as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,Energy Users Association of Australia (EUAA),organization,,,2026,"Alcoa is a member of the Energy Users Association of Australia (EUAA), as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,Brazilian Business Council for Sustainable Development (CEBDS),organization,,,2026,"Alcoa is a member of the Brazilian Business Council for Sustainable Development (CEBDS), as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,Association of Mining and Exploration Companies (AMEC),organization,,,2026,"Alcoa is a member of the Association of Mining and Exploration Companies (AMEC), as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,US Chamber of Commerce,organization,,,2026,"Alcoa is a member of the US Chamber of Commerce, as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,Chamber of Minerals and Energy of Western Australia (CME),organization,,,2026,"Alcoa is a member of the Chamber of Minerals and Energy of Western Australia (CME), which is identified as an industry association that has actively opposed meaningful climate change policy.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,Spanish Confederation of Business Organizations (CEOE),organization,,,2026,"Alcoa is a member of the Spanish Confederation of Business Organizations (CEOE), as indicated by its listing in Alcoa's relationship network on LobbyMap.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Alcoa,organization,is a member of,Business Council of Australia,organization,,,2026,"Alcoa is identified as having links to the Business Council of Australia, an industry association that has actively opposed meaningful climate change policy.",https://lobbymap.org/company/ALCOA-602fa4b8a2097b3d2e94030125f001c3/projectlink/ALCOA-in-Climate-Change-a18ce8a880c28f0aa1019738bc82b8b2
Amazon,organization,is a member of,Corporate Leaders Group (CLG),organization,,,,"Amazon is a member of Corporate Leaders Group (CLG), an EU-based industry association that demonstrates positive engagement on climate policy.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,US Chamber of Commerce,organization,,,,"Amazon is a member of the US Chamber of Commerce, a US-based industry association which is active on climate policy with consistently negative positions.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,National Association of Manufacturers (NAM),organization,,,,"Amazon is a member of the National Association of Manufacturers, a US-based industry association which is active on climate policy with consistently negative positions.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,has partner,Global Renewables Alliance,organization,,,2023,"Amazon partnered with Global Renewables Alliance in a September 2023 joint letter, calling for increased ambition from governments in the lead-up to COP28 to set global targets aimed at limiting global temperature rise to 1.5°C.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Sustainable Aviation Fuel (SAF) Coalition,organization,2024,,,"Amazon joined the Sustainable Aviation Fuel (SAF) Coalition in August 2024, which appears to be directly engaging with US policymakers in support of expanding incentives for SAF production.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,has partner,CERES Corporate Electric Vehicle Alliance,organization,,,2023,"Amazon partnered with the CERES Corporate Electric Vehicle Alliance in a December 2023 joint letter submitted to the Environmental Protection Agency (EPA), supporting “strong Phase 3 truck emissions standards” aligned with California’s Advanced Clean Trucks (ACT) rule.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,has partner,Corporate Leaders Group (CLG),organization,,,2024,"Amazon participated in an October 2024 joint letter organized by Corporate Leaders Group (CLG), calling for “clear fossil fuel phase out roadmaps” in the United Kingdom.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is associated with,Center for Climate and Energy Solutions (C2ES),organization,,,2023,"In its 2023 CDP Response, Amazon disclosed its relationship to the Center for Climate and Energy Solutions (C2ES).",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,WindEurope,organization,,,,"Amazon is a member of WindEurope, an EU-based industry association that is generally positively engaged on climate policy.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,California Chamber of Commerce (CalChamber),organization,,,,"Amazon is a member of the California Chamber of Commerce (CalChamber), a US-based national and state-level industry association that is consistently obstructive in its climate policy engagement.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Business Council of New York State (BCNYS),organization,,,,"Amazon is a member of the Business Council of New York State (BCNYS), a US-based national and state-level industry association that is consistently obstructive in its climate policy engagement.",https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Clean Energy Buyers Association (CEBA),organization,,,,Amazon is a member of Clean Energy Buyers Association (CEBA).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Canadian Chamber of Commerce,organization,,,,Amazon is a member of Canadian Chamber of Commerce.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,American Clean Power Association (formerly AWEA),organization,,,,Amazon is a member of American Clean Power Association (formerly AWEA).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Greater Boston Chamber of Commerce,organization,,,,Amazon is a member of Greater Boston Chamber of Commerce.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,AmCham EU,organization,,,,Amazon is a member of AmCham EU.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Japan Climate Leaders Partnership (JCLP),organization,,,,Amazon is a member of Japan Climate Leaders Partnership (JCLP).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Advanced Energy United (AEU),organization,,,,Amazon is a member of Advanced Energy United (AEU).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Australian Chamber of Commerce & Industry (ACCI),organization,,,,Amazon is a member of Australian Chamber of Commerce & Industry (ACCI).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,EuroCommerce,organization,,,,Amazon is a member of EuroCommerce.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Eurelectric,organization,,,,Amazon is a member of Eurelectric.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Business Leadership South Africa,organization,,,,Amazon is a member of Business Leadership South Africa.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Japan Electronics And Information Technology Industries Association (JEITA),organization,,,,Amazon is a member of Japan Electronics And Information Technology Industries Association (JEITA).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Associated Chambers of Commerce and Industry of India (ASSOCHAM),organization,,,,Amazon is a member of Associated Chambers of Commerce and Industry of India (ASSOCHAM).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Business Roundtable,organization,,,,Amazon is a member of Business Roundtable.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Japan Business Federation (Keidanren),organization,,,,Amazon is a member of Japan Business Federation (Keidanren).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Edison Electric Institute,organization,,,,Amazon is a member of Edison Electric Institute.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,The Transport Project,organization,,,,Amazon is a member of The Transport Project.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,European Union Chamber of Commerce in China,organization,,,,Amazon is a member of European Union Chamber of Commerce in China.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,SolarPower Europe,organization,,,,Amazon is a member of SolarPower Europe.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,International Air Transport Association (IATA),organization,,,,Amazon is a member of International Air Transport Association (IATA).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Business Council of Australia (BCA),organization,,,,Amazon is a member of Business Council of Australia (BCA).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Aerospace Industries Association (AIA),organization,,,,Amazon is a member of Aerospace Industries Association (AIA).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,General Aviation Manufacturers Association (GAMA),organization,,,,Amazon is a member of General Aviation Manufacturers Association (GAMA).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Consumer Goods Forum,organization,,,,Amazon is a member of Consumer Goods Forum.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,DigitalEurope,organization,,,,Amazon is a member of DigitalEurope.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Fuel Cell and Hydrogen Energy Association (FCHEA),organization,,,,Amazon is a member of Fuel Cell and Hydrogen Energy Association (FCHEA).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Confederation of British Industry (CBI),organization,,,,Amazon is a member of Confederation of British Industry (CBI).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Texas Association of Business,organization,,,,Amazon is a member of Texas Association of Business.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Brazilian Business Council for Sustainable Development (CEBDS),organization,,,,Amazon is a member of Brazilian Business Council for Sustainable Development (CEBDS).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Florida Chamber of Commerce,organization,,,,Amazon is a member of Florida Chamber of Commerce.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Tennessee Chamber of Commerce & Industry,organization,,,,Amazon is a member of Tennessee Chamber of Commerce & Industry.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Illinois Chamber of Commerce,organization,,,,Amazon is a member of Illinois Chamber of Commerce.,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Amazon,organization,is a member of,Japan Apparel-Fashion Industry Council (JAFIC),organization,,,,Amazon is a member of Japan Apparel-Fashion Industry Council (JAFIC).,https://lobbymap.org/company/Amazon-6ef39ea5f5d349615d709268befdb436/projectlink/Amazon-in-Climate-Change-35db700d4ccdd3bec79234553d91cd82
Mike Roman,Person,is a member of,Business Roundtable,Organization,,,,"3M’s CEO, Mike Roman, is a member of the Business Roundtable.",https://lobbymap.org/company/3M-f13dc7e1fa147cdac051b14f3ebbbc24/projectlink/3M-in-Climate-Change-9c1bc4b2b02439fe35ee5a83b6f67e6a
